id,date,username,text,like_count,retweet_count,cleaned,sentiment,sentiment_label
1,2023-02-19,neverland,I love BTS so much! KPOP forever 💜,890,131,i love bts so much! kpop forever 💜,0.375,positif
2,2023-07-05,engene,"Enhypen growing so fast, proud! #ENGENE",83,282,"enhypen growing so fast, proud! #engene",0.6,positif
3,2023-11-03,buddyfan,BTS x BLACKPINK collab dream? 😱,269,36,bts x blackpink collab dream? 😱,0.0,netral
4,2023-01-12,armyblink,TXT are the future of KPOP 💙,361,304,txt are the future of kpop 💙,0.0,netral
5,2023-04-09,shawol,BTS paved the way #Army,938,105,bts paved the way #army,0.0,netral
6,2023-11-14,buddyfan,LOONA legends #Orbit,609,301,loona legends #orbit,0.0,netral
7,2023-10-13,nctzenlife,SHINee forever kings #Shawol,479,318,shinee forever kings #shawol,0.0,netral
8,2023-06-21,armyforever,I love BTS so much! KPOP forever 💜,813,442,i love bts so much! kpop forever 💜,0.375,positif
9,2023-01-25,armyblink,BTS x BLACKPINK collab dream? 😱,800,43,bts x blackpink collab dream? 😱,0.0,netral
10,2023-03-26,engene,BTS x BLACKPINK collab dream? 😱,155,118,bts x blackpink collab dream? 😱,0.0,netral
11,2023-07-03,nctzenlife,Twice performance is so powerful #ONCE,273,242,twice performance is so powerful #once,0.3,positif
12,2023-01-01,oncefan,BLACKPINK just dropped a new MV 🔥 #KPOP,686,357,blackpink just dropped a new mv 🔥 #kpop,0.13636363636363635,positif
13,2023-07-05,armylover,EXO still kings of KPOP 🔥,574,213,exo still kings of kpop 🔥,0.0,netral
14,2023-11-05,oncefan,BIGBANG changed KPOP industry #VIP,362,390,bigbang changed kpop industry #vip,0.0,netral
15,2023-08-28,moaarmy,"Enhypen growing so fast, proud! #ENGENE",836,127,"enhypen growing so fast, proud! #engene",0.6,positif
16,2023-10-24,armylover,Stray Kids are dominating the stage! #STAY,130,263,stray kids are dominating the stage! #stay,0.0,netral
17,2023-06-14,blinkqueen,"Enhypen growing so fast, proud! #ENGENE",668,408,"enhypen growing so fast, proud! #engene",0.6,positif
18,2023-01-09,moaarmy,"Enhypen growing so fast, proud! #ENGENE",901,483,"enhypen growing so fast, proud! #engene",0.6,positif
19,2023-05-15,oncefan,EXO still kings of KPOP 🔥,668,36,exo still kings of kpop 🔥,0.0,netral
20,2023-01-08,shawol,Idle rising so strong #Neverland,728,440,idle rising so strong #neverland,0.43333333333333335,positif
21,2023-08-01,shawol,BLACKPINK in your area! 💖,738,166,blackpink in your area! 💖,0.0,netral
22,2023-07-21,caratdiamond,EXO still kings of KPOP 🔥,520,338,exo still kings of kpop 🔥,0.0,netral
23,2023-12-21,shawol,"Enhypen growing so fast, proud! #ENGENE",938,297,"enhypen growing so fast, proud! #engene",0.6,positif
24,2023-09-20,armylover,BTS paved the way #Army,107,438,bts paved the way #army,0.0,netral
25,2023-12-09,engene,LOONA legends #Orbit,152,208,loona legends #orbit,0.0,netral
26,2023-05-30,fearless,TXT are the future of KPOP 💙,815,487,txt are the future of kpop 💙,0.0,netral
27,2023-09-22,buddyfan,I love BTS so much! KPOP forever 💜,616,98,i love bts so much! kpop forever 💜,0.375,positif
28,2023-04-08,vipfan,Twice performance is so powerful #ONCE,116,374,twice performance is so powerful #once,0.3,positif
29,2023-08-16,midzy,SHINee forever kings #Shawol,681,103,shinee forever kings #shawol,0.0,netral
30,2023-11-11,nctzenlife,EXO still kings of KPOP 🔥,116,208,exo still kings of kpop 🔥,0.0,netral
31,2023-08-08,nctzenlife,Red Velvet vocals are insane 🎶 #ReVeluv,273,206,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
32,2023-06-04,reveluv,BIGBANG changed KPOP industry #VIP,253,373,bigbang changed kpop industry #vip,0.0,netral
33,2023-10-21,moaarmy,Itzy charisma is no joke #MIDZY,380,159,itzy charisma is no joke #midzy,0.0,netral
34,2023-07-08,stayforever,Itzy charisma is no joke #MIDZY,867,58,itzy charisma is no joke #midzy,0.0,netral
35,2023-02-09,armyforever,NCT comeback soon! Can't wait 😍,129,391,nct comeback soon! can't wait 😍,0.0,netral
36,2023-08-04,blinkkpop,EXO still kings of KPOP 🔥,248,351,exo still kings of kpop 🔥,0.0,netral
37,2023-12-22,shawol,Itzy charisma is no joke #MIDZY,883,294,itzy charisma is no joke #midzy,0.0,netral
38,2023-07-30,armylover,TXT are the future of KPOP 💙,756,352,txt are the future of kpop 💙,0.0,netral
39,2023-04-03,moaarmy,Itzy charisma is no joke #MIDZY,760,259,itzy charisma is no joke #midzy,0.0,netral
40,2023-04-18,vipfan,"Enhypen growing so fast, proud! #ENGENE",559,393,"enhypen growing so fast, proud! #engene",0.6,positif
41,2023-04-28,armylover,BTS paved the way #Army,711,179,bts paved the way #army,0.0,netral
42,2023-12-27,armyblink,Red Velvet vocals are insane 🎶 #ReVeluv,580,24,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
43,2023-02-18,neverland,GFriend songs always touch my heart 💕,188,406,gfriend songs always touch my heart 💕,0.0,netral
44,2023-10-23,buddyfan,BLACKPINK just dropped a new MV 🔥 #KPOP,160,14,blackpink just dropped a new mv 🔥 #kpop,0.13636363636363635,positif
45,2023-12-23,caratdiamond,NCT comeback soon! Can't wait 😍,672,485,nct comeback soon! can't wait 😍,0.0,netral
46,2023-05-02,stayforever,Red Velvet vocals are insane 🎶 #ReVeluv,730,362,red velvet vocals are insane 🎶 #reveluv,-0.5,negatif
47,2023-01-23,stayforever,EXO still kings of KPOP 🔥,798,60,exo still kings of kpop 🔥,0.0,netral
